Proposal,"Call Order","Section Number","Section Description",Line,Item,"Alternate Code","Item Description",Quantity,Unit,"Vendor Name","Bidder ID","Unit Price",Extension,Deviation
B3CBA2302360-0,017,0001,ROADWAY,0005,150-1000,,"TRAFFIC CONTROL - M006363",1.00000,LS,"PITTMAN CONSTRUCTION COMPANY",2PI780,"$106,225.00","$106,225.00",$0.00
B3CBA2302360-0,017,0001,ROADWAY,0005,150-1000,,"TRAFFIC CONTROL - M006363",1.00000,LS,"C. W. MATTHEWS CONTRACTING CO., INC.",2MA850,"$344,091.57","$344,091.57","$237,866.57"
B3CBA2302360-0,017,0001,ROADWAY,0005,150-1000,,"TRAFFIC CONTROL - M006363",1.00000,LS,"E. R. SNELL CONTRACTOR, INC.",2SN250,"$154,555.00","$154,555.00","$48,330.00"
B3CBA2302360-0,017,0001,ROADWAY,0005,150-1000,,"TRAFFIC CONTROL - M006363",1.00000,LS,"BALDWIN PAVING COMPANY, INC.",2BA150,"$307,235.00","$307,235.00","$201,010.00"
B3CBA2302360-0,017,0001,ROADWAY,0010,402-1802,,"RECYCLED ASPH CONC PATCHING, INCL BITUM MATL & H LIME",300.00000,TN,"PITTMAN CONSTRUCTION COMPANY",2PI780,$258.45,"$77,535.00",$0.00
B3CBA2302360-0,017,0001,ROADWAY,0010,402-1802,,"RECYCLED ASPH CONC PATCHING, INCL BITUM MATL & H LIME",300.00000,TN,"C. W. MATTHEWS CONTRACTING CO., INC.",2MA850,$261.32,"$78,396.00",$861.00
B3CBA2302360-0,017,0001,ROADWAY,0010,402-1802,,"RECYCLED ASPH CONC PATCHING, INCL BITUM MATL & H LIME",300.00000,TN,"E. R. SNELL CONTRACTOR, INC.",2SN250,$329.00,"$98,700.00","$21,165.00"
B3CBA2302360-0,017,0001,ROADWAY,0010,402-1802,,"RECYCLED ASPH CONC PATCHING, INCL BITUM MATL & H LIME",300.00000,TN,"BALDWIN PAVING COMPANY, INC.",2BA150,$423.25,"$126,975.00","$49,440.00"
B3CBA2302360-0,017,0001,ROADWAY,0015,402-3130,,"RECYCLED ASPH CONC 12.5 MM SUPERPAVE, GP 2 ONLY, INCL BITUM MATL & H LIME","2,914.00000",TN,"PITTMAN CONSTRUCTION COMPANY",2PI780,$145.25,"$423,258.50",$0.00
B3CBA2302360-0,017,0001,ROADWAY,0015,402-3130,,"RECYCLED ASPH CONC 12.5 MM SUPERPAVE, GP 2 ONLY, INCL BITUM MATL & H LIME","2,914.00000",TN,"C. W. MATTHEWS CONTRACTING CO., INC.",2MA850,$130.00,"$378,820.00","-$44,438.50"
