Proposal,"Call Order","Section Number","Section Description",Line,Item,"Alternate Code","Item Description",Quantity,Unit,"Vendor Name","Bidder ID","Unit Price",Extension,Deviation
B1CBA1801228-0,007,0001,ROADWAY,0005,150-1000,,"TRAFFIC CONTROL - M005848",1.00000,LS,"PEEK PAVEMENT MARKING, LLC",2PE100,"$33,500.00","$33,500.00",$0.00
B1CBA1801228-0,007,0001,ROADWAY,0005,150-1000,,"TRAFFIC CONTROL - M005848",1.00000,LS,"ROADSAFE TRAFFIC SYSTEMS, INC.",2RO153,"$76,000.21","$76,000.21","$42,500.21"
B1CBA1801228-0,007,0001,ROADWAY,0005,150-1000,,"TRAFFIC CONTROL - M005848",1.00000,LS,"ROADSIDE SPECIALTIES, LLC",00000000014155,"$450,000.00","$450,000.00","$416,500.00"
B1CBA1801228-0,007,0001,ROADWAY,0010,632-0003,,"CHANGEABLE MESSAGE SIGN, PORTABLE, TYPE 3",2.00000,EA,"PEEK PAVEMENT MARKING, LLC",2PE100,"$1,600.00","$3,200.00",$0.00
B1CBA1801228-0,007,0001,ROADWAY,0010,632-0003,,"CHANGEABLE MESSAGE SIGN, PORTABLE, TYPE 3",2.00000,EA,"ROADSAFE TRAFFIC SYSTEMS, INC.",2RO153,$33.00,$66.00,"-$3,134.00"
B1CBA1801228-0,007,0001,ROADWAY,0010,632-0003,,"CHANGEABLE MESSAGE SIGN, PORTABLE, TYPE 3",2.00000,EA,"ROADSIDE SPECIALTIES, LLC",00000000014155,"$2,500.00","$5,000.00","$1,800.00"
B1CBA1801228-0,007,0001,ROADWAY,0018,653-0110,,"THERMOPLASTIC PVMT MARKING, ARROW, TP 1",1.00000,EA,"PEEK PAVEMENT MARKING, LLC",2PE100,$60.00,$60.00,$0.00
B1CBA1801228-0,007,0001,ROADWAY,0018,653-0110,,"THERMOPLASTIC PVMT MARKING, ARROW, TP 1",1.00000,EA,"ROADSAFE TRAFFIC SYSTEMS, INC.",2RO153,$48.42,$48.42,-$11.58
B1CBA1801228-0,007,0001,ROADWAY,0018,653-0110,,"THERMOPLASTIC PVMT MARKING, ARROW, TP 1",1.00000,EA,"ROADSIDE SPECIALTIES, LLC",00000000014155,$100.00,$100.00,$40.00
B1CBA1801228-0,007,0001,ROADWAY,0020,653-0120,,"THERMOPLASTIC PVMT MARKING, ARROW, TP 2",32.00000,EA,"PEEK PAVEMENT MARKING, LLC",2PE100,$60.00,"$1,920.00",$0.00
B1CBA1801228-0,007,0001,ROADWAY,0020,653-0120,,"THERMOPLASTIC PVMT MARKING, ARROW, TP 2",32.00000,EA,"ROADSAFE TRAFFIC SYSTEMS, INC.",2RO153,$53.61,"$1,715.52",-$204.48
B1CBA1801228-0,007,0001,ROADWAY,0020,653-0120,,"THERMOPLASTIC PVMT MARKING, ARROW, TP 2",32.00000,EA,"ROADSIDE SPECIALTIES, LLC",00000000014155,$100.00,"$3,200.00","$1,280.00"
B1CBA1801228-0,007,0001,ROADWAY,0025,653-0140,,"THERMOPLASTIC PVMT MARKING, ARROW, TP 4",8.00000,EA,"PEEK PAVEMENT MARKING, LLC",2PE100,$250.00,"$2,000.00",$0.00
B1CBA1801228-0,007,0001,ROADWAY,0025,653-0140,,"THERMOPLASTIC PVMT MARKING, ARROW, TP 4",8.00000,EA,"ROADSAFE TRAFFIC SYSTEMS, INC.",2RO153,$123.33,$986.64,"-$1,013.36"
B1CBA1801228-0,007,0001,ROADWAY,0025,653-0140,,"THERMOPLASTIC PVMT MARKING, ARROW, TP 4",8.00000,EA,"ROADSIDE SPECIALTIES, LLC",00000000014155,$400.00,"$3,200.00","$1,200.00"
B1CBA1801228-0,007,0001,ROADWAY,0030,653-0210,,"THERMOPLASTIC PVMT MARKING, WORD, TP 1",6.00000,EA,"PEEK PAVEMENT MARKING, LLC",2PE100,$250.00,"$1,500.00",$0.00
B1CBA1801228-0,007,0001,ROADWAY,0030,653-0210,,"THERMOPLASTIC PVMT MARKING, WORD, TP 1",6.00000,EA,"ROADSAFE TRAFFIC SYSTEMS, INC.",2RO153,$56.68,$340.08,"-$1,159.92"
B1CBA1801228-0,007,0001,ROADWAY,0030,653-0210,,"THERMOPLASTIC PVMT MARKING, WORD, TP 1",6.00000,EA,"ROADSIDE SPECIALTIES, LLC",00000000014155,$100.00,$600.00,-$900.00
B1CBA1801228-0,007,0001,ROADWAY,0035,653-0293,,"THERMOPLASTIC PVMT MARKING, WORD, TP 12",1.00000,EA,"PEEK PAVEMENT MARKING, LLC",2PE100,"$1,500.00","$1,500.00",$0.00
B1CBA1801228-0,007,0001,ROADWAY,0035,653-0293,,"THERMOPLASTIC PVMT MARKING, WORD, TP 12",1.00000,EA,"ROADSAFE TRAFFIC SYSTEMS, INC.",2RO153,"$2,139.39","$2,139.39",$639.39
B1CBA1801228-0,007,0001,ROADWAY,0035,653-0293,,"THERMOPLASTIC PVMT MARKING, WORD, TP 12",1.00000,EA,"ROADSIDE SPECIALTIES, LLC",00000000014155,"$1,250.00","$1,250.00",-$250.00
B1CBA1801228-0,007,0001,ROADWAY,0040,653-1704,,"THERMOPLASTIC SOLID TRAF STRIPE, 24 IN, WHITE",180.00000,LF,"PEEK PAVEMENT MARKING, LLC",2PE100,$8.50,"$1,530.00",$0.00
B1CBA1801228-0,007,0001,ROADWAY,0040,653-1704,,"THERMOPLASTIC SOLID TRAF STRIPE, 24 IN, WHITE",180.00000,LF,"ROADSAFE TRAFFIC SYSTEMS, INC.",2RO153,$3.20,$576.00,-$954.00
B1CBA1801228-0,007,0001,ROADWAY,0040,653-1704,,"THERMOPLASTIC SOLID TRAF STRIPE, 24 IN, WHITE",180.00000,LF,"ROADSIDE SPECIALTIES, LLC",00000000014155,$5.00,$900.00,-$630.00
B1CBA1801228-0,007,0001,ROADWAY,0045,653-1804,,"THERMOPLASTIC SOLID TRAF STRIPE, 8 IN, WHITE","1,600.00000",LF,"PEEK PAVEMENT MARKING, LLC",2PE100,$2.00,"$3,200.00",$0.00
B1CBA1801228-0,007,0001,ROADWAY,0045,653-1804,,"THERMOPLASTIC SOLID TRAF STRIPE, 8 IN, WHITE","1,600.00000",LF,"ROADSAFE TRAFFIC SYSTEMS, INC.",2RO153,$1.23,"$1,968.00","-$1,232.00"
B1CBA1801228-0,007,0001,ROADWAY,0045,653-1804,,"THERMOPLASTIC SOLID TRAF STRIPE, 8 IN, WHITE","1,600.00000",LF,"ROADSIDE SPECIALTIES, LLC",00000000014155,$4.50,"$7,200.00","$4,000.00"
B1CBA1801228-0,007,0001,ROADWAY,0050,653-1810,,"THERMOPLASTIC SOLID TRAF STRIPE, 10 IN, WHITE","10,000.00000",LF,"PEEK PAVEMENT MARKING, LLC",2PE100,$1.25,"$12,500.00",$0.00
B1CBA1801228-0,007,0001,ROADWAY,0050,653-1810,,"THERMOPLASTIC SOLID TRAF STRIPE, 10 IN, WHITE","10,000.00000",LF,"ROADSAFE TRAFFIC SYSTEMS, INC.",2RO153,$0.78,"$7,800.00","-$4,700.00"
B1CBA1801228-0,007,0001,ROADWAY,0050,653-1810,,"THERMOPLASTIC SOLID TRAF STRIPE, 10 IN, WHITE","10,000.00000",LF,"ROADSIDE SPECIALTIES, LLC",00000000014155,$5.00,"$50,000.00","$37,500.00"
B1CBA1801228-0,007,0001,ROADWAY,0055,653-2501,,"THERMOPLASTIC SOLID TRAF STRIPE, 5 IN, WHITE",6.53000,LM,"PEEK PAVEMENT MARKING, LLC",2PE100,"$2,500.00","$16,325.00",$0.00
B1CBA1801228-0,007,0001,ROADWAY,0055,653-2501,,"THERMOPLASTIC SOLID TRAF STRIPE, 5 IN, WHITE",6.53000,LM,"ROADSAFE TRAFFIC SYSTEMS, INC.",2RO153,"$1,265.41","$8,263.13","-$8,061.87"
B1CBA1801228-0,007,0001,ROADWAY,0055,653-2501,,"THERMOPLASTIC SOLID TRAF STRIPE, 5 IN, WHITE",6.53000,LM,"ROADSIDE SPECIALTIES, LLC",00000000014155,"$2,200.00","$14,366.00","-$1,959.00"
B1CBA1801228-0,007,0001,ROADWAY,0060,653-2502,,"THERMOPLASTIC SOLID TRAF STRIPE, 5 IN, YELLOW",6.26000,LM,"PEEK PAVEMENT MARKING, LLC",2PE100,"$2,500.00","$15,650.00",$0.00
B1CBA1801228-0,007,0001,ROADWAY,0060,653-2502,,"THERMOPLASTIC SOLID TRAF STRIPE, 5 IN, YELLOW",6.26000,LM,"ROADSAFE TRAFFIC SYSTEMS, INC.",2RO153,"$1,412.76","$8,843.88","-$6,806.12"
B1CBA1801228-0,007,0001,ROADWAY,0060,653-2502,,"THERMOPLASTIC SOLID TRAF STRIPE, 5 IN, YELLOW",6.26000,LM,"ROADSIDE SPECIALTIES, LLC",00000000014155,"$2,200.00","$13,772.00","-$1,878.00"
B1CBA1801228-0,007,0001,ROADWAY,0065,653-4501,,"THERMOPLASTIC SKIP TRAF STRIPE, 5 IN, WHITE",8.58000,GLM,"PEEK PAVEMENT MARKING, LLC",2PE100,"$1,625.00","$13,942.50",$0.00
B1CBA1801228-0,007,0001,ROADWAY,0065,653-4501,,"THERMOPLASTIC SKIP TRAF STRIPE, 5 IN, WHITE",8.58000,GLM,"ROADSAFE TRAFFIC SYSTEMS, INC.",2RO153,$484.14,"$4,153.92","-$9,788.58"
B1CBA1801228-0,007,0001,ROADWAY,0065,653-4501,,"THERMOPLASTIC SKIP TRAF STRIPE, 5 IN, WHITE",8.58000,GLM,"ROADSIDE SPECIALTIES, LLC",00000000014155,"$1,400.00","$12,012.00","-$1,930.50"
