Proposal,"Call Order","Section Number","Section Description",Line,Item,"Alternate Code","Item Description",Quantity,Unit,"Vendor Name","Bidder ID","Unit Price",Extension,Deviation
B3TIA2002219-0,043,0001,ROADWAY,0005,150-1000,,"TRAFFIC CONTROL - 0016303",1.00000,LS,"EAST COAST ASPHALT, LLC",00000000012961,"$90,854.00","$90,854.00",$0.00
B3TIA2002219-0,043,0001,ROADWAY,0005,150-1000,,"TRAFFIC CONTROL - 0016303",1.00000,LS,"THE SCRUGGS COMPANY",2SC900,"$79,317.34","$79,317.34","-$11,536.66"
B3TIA2002219-0,043,0001,ROADWAY,0005,150-1000,,"TRAFFIC CONTROL - 0016303",1.00000,LS,"REEVES CONSTRUCTION COMPANY",2RE390,"$96,675.00","$96,675.00","$5,821.00"
B3TIA2002219-0,043,0001,ROADWAY,0005,150-1000,,"TRAFFIC CONTROL - 0016303",1.00000,LS,"REAMES AND SON CONSTRUCTION COMPANY, INC.",2RE120,"$216,543.00","$216,543.00","$125,689.00"
B3TIA2002219-0,043,0001,ROADWAY,0010,402-1802,,"RECYCLED ASPH CONC PATCHING, INCL BITUM MATL & H LIME",100.00000,TN,"EAST COAST ASPHALT, LLC",00000000012961,$115.00,"$11,500.00",$0.00
B3TIA2002219-0,043,0001,ROADWAY,0010,402-1802,,"RECYCLED ASPH CONC PATCHING, INCL BITUM MATL & H LIME",100.00000,TN,"THE SCRUGGS COMPANY",2SC900,$135.94,"$13,594.00","$2,094.00"
B3TIA2002219-0,043,0001,ROADWAY,0010,402-1802,,"RECYCLED ASPH CONC PATCHING, INCL BITUM MATL & H LIME",100.00000,TN,"REEVES CONSTRUCTION COMPANY",2RE390,$100.00,"$10,000.00","-$1,500.00"
B3TIA2002219-0,043,0001,ROADWAY,0010,402-1802,,"RECYCLED ASPH CONC PATCHING, INCL BITUM MATL & H LIME",100.00000,TN,"REAMES AND SON CONSTRUCTION COMPANY, INC.",2RE120,$175.00,"$17,500.00","$6,000.00"
B3TIA2002219-0,043,0001,ROADWAY,0015,402-3130,,"RECYCLED ASPH CONC 12.5 MM SUPERPAVE, GP 2 ONLY, INCL BITUM MATL & H LIME","5,000.00000",TN,"EAST COAST ASPHALT, LLC",00000000012961,$78.07,"$390,350.00",$0.00
B3TIA2002219-0,043,0001,ROADWAY,0015,402-3130,,"RECYCLED ASPH CONC 12.5 MM SUPERPAVE, GP 2 ONLY, INCL BITUM MATL & H LIME","5,000.00000",TN,"THE SCRUGGS COMPANY",2SC900,$78.18,"$390,900.00",$550.00
B3TIA2002219-0,043,0001,ROADWAY,0015,402-3130,,"RECYCLED ASPH CONC 12.5 MM SUPERPAVE, GP 2 ONLY, INCL BITUM MATL & H LIME","5,000.00000",TN,"REEVES CONSTRUCTION COMPANY",2RE390,$85.25,"$426,250.00","$35,900.00"
B3TIA2002219-0,043,0001,ROADWAY,0015,402-3130,,"RECYCLED ASPH CONC 12.5 MM SUPERPAVE, GP 2 ONLY, INCL BITUM MATL & H LIME","5,000.00000",TN,"REAMES AND SON CONSTRUCTION COMPANY, INC.",2RE120,$86.50,"$432,500.00","$42,150.00"
B3TIA2002219-0,043,0001,ROADWAY,0020,413-0750,,"TACK COAT","3,600.00000",GL,"EAST COAST ASPHALT, LLC",00000000012961,$0.01,$36.00,$0.00
B3TIA2002219-0,043,0001,ROADWAY,0020,413-0750,,"TACK COAT","3,600.00000",GL,"THE SCRUGGS COMPANY",2SC900,$2.09,"$7,524.00","$7,488.00"
B3TIA2002219-0,043,0001,ROADWAY,0020,413-0750,,"TACK COAT","3,600.00000",GL,"REEVES CONSTRUCTION COMPANY",2RE390,$0.10,$360.00,$324.00
B3TIA2002219-0,043,0001,ROADWAY,0020,413-0750,,"TACK COAT","3,600.00000",GL,"REAMES AND SON CONSTRUCTION COMPANY, INC.",2RE120,$2.75,"$9,900.00","$9,864.00"
B3TIA2002219-0,043,0001,ROADWAY,0025,432-5010,,"MILL ASPH CONC PVMT, VARIABLE DEPTH","59,000.00000",SY,"EAST COAST ASPHALT, LLC",00000000012961,$1.45,"$85,550.00",$0.00
B3TIA2002219-0,043,0001,ROADWAY,0025,432-5010,,"MILL ASPH CONC PVMT, VARIABLE DEPTH","59,000.00000",SY,"THE SCRUGGS COMPANY",2SC900,$2.08,"$122,720.00","$37,170.00"
B3TIA2002219-0,043,0001,ROADWAY,0025,432-5010,,"MILL ASPH CONC PVMT, VARIABLE DEPTH","59,000.00000",SY,"REEVES CONSTRUCTION COMPANY",2RE390,$1.50,"$88,500.00","$2,950.00"
B3TIA2002219-0,043,0001,ROADWAY,0025,432-5010,,"MILL ASPH CONC PVMT, VARIABLE DEPTH","59,000.00000",SY,"REAMES AND SON CONSTRUCTION COMPANY, INC.",2RE120,$1.40,"$82,600.00","-$2,950.00"
B3TIA2002219-0,043,0001,ROADWAY,0030,611-8050,,"ADJUST MANHOLE TO GRADE",2.00000,EA,"EAST COAST ASPHALT, LLC",00000000012961,$175.00,$350.00,$0.00
B3TIA2002219-0,043,0001,ROADWAY,0030,611-8050,,"ADJUST MANHOLE TO GRADE",2.00000,EA,"THE SCRUGGS COMPANY",2SC900,"$1,923.08","$3,846.16","$3,496.16"
B3TIA2002219-0,043,0001,ROADWAY,0030,611-8050,,"ADJUST MANHOLE TO GRADE",2.00000,EA,"REEVES CONSTRUCTION COMPANY",2RE390,"$2,000.00","$4,000.00","$3,650.00"
B3TIA2002219-0,043,0001,ROADWAY,0030,611-8050,,"ADJUST MANHOLE TO GRADE",2.00000,EA,"REAMES AND SON CONSTRUCTION COMPANY, INC.",2RE120,"$1,800.00","$3,600.00","$3,250.00"
B3TIA2002219-0,043,0001,ROADWAY,0035,611-8140,,"ADJUST WATER VALVE BOX TO GRADE",2.00000,EA,"EAST COAST ASPHALT, LLC",00000000012961,$100.00,$200.00,$0.00
B3TIA2002219-0,043,0001,ROADWAY,0035,611-8140,,"ADJUST WATER VALVE BOX TO GRADE",2.00000,EA,"THE SCRUGGS COMPANY",2SC900,$961.54,"$1,923.08","$1,723.08"
B3TIA2002219-0,043,0001,ROADWAY,0035,611-8140,,"ADJUST WATER VALVE BOX TO GRADE",2.00000,EA,"REEVES CONSTRUCTION COMPANY",2RE390,"$2,000.00","$4,000.00","$3,800.00"
B3TIA2002219-0,043,0001,ROADWAY,0035,611-8140,,"ADJUST WATER VALVE BOX TO GRADE",2.00000,EA,"REAMES AND SON CONSTRUCTION COMPANY, INC.",2RE120,"$1,575.00","$3,150.00","$2,950.00"
B3TIA2002219-0,043,0001,ROADWAY,0040,647-6200,,"LOOP DETECTOR, 6 FT X 6 FT, BIPOLE",8.00000,EA,"EAST COAST ASPHALT, LLC",00000000012961,"$1,000.00","$8,000.00",$0.00
B3TIA2002219-0,043,0001,ROADWAY,0040,647-6200,,"LOOP DETECTOR, 6 FT X 6 FT, BIPOLE",8.00000,EA,"THE SCRUGGS COMPANY",2SC900,"$1,455.66","$11,645.28","$3,645.28"
B3TIA2002219-0,043,0001,ROADWAY,0040,647-6200,,"LOOP DETECTOR, 6 FT X 6 FT, BIPOLE",8.00000,EA,"REEVES CONSTRUCTION COMPANY",2RE390,"$1,000.00","$8,000.00",$0.00
B3TIA2002219-0,043,0001,ROADWAY,0040,647-6200,,"LOOP DETECTOR, 6 FT X 6 FT, BIPOLE",8.00000,EA,"REAMES AND SON CONSTRUCTION COMPANY, INC.",2RE120,"$1,200.00","$9,600.00","$1,600.00"
B3TIA2002219-0,043,0001,ROADWAY,0045,647-6300,,"LOOP DETECTOR, 6 FT X 40 FT, QUADRUPOLE",42.00000,EA,"EAST COAST ASPHALT, LLC",00000000012961,"$1,200.00","$50,400.00",$0.00
B3TIA2002219-0,043,0001,ROADWAY,0045,647-6300,,"LOOP DETECTOR, 6 FT X 40 FT, QUADRUPOLE",42.00000,EA,"THE SCRUGGS COMPANY",2SC900,"$1,243.90","$52,243.80","$1,843.80"
B3TIA2002219-0,043,0001,ROADWAY,0045,647-6300,,"LOOP DETECTOR, 6 FT X 40 FT, QUADRUPOLE",42.00000,EA,"REEVES CONSTRUCTION COMPANY",2RE390,"$1,200.00","$50,400.00",$0.00
B3TIA2002219-0,043,0001,ROADWAY,0045,647-6300,,"LOOP DETECTOR, 6 FT X 40 FT, QUADRUPOLE",42.00000,EA,"REAMES AND SON CONSTRUCTION COMPANY, INC.",2RE120,"$1,400.00","$58,800.00","$8,400.00"
B3TIA2002219-0,043,0001,ROADWAY,0050,653-0095,,"THERMOPLASTIC PVMT MARKING, HANDICAP SYMBOL",2.00000,EA,"EAST COAST ASPHALT, LLC",00000000012961,$350.00,$700.00,$0.00
B3TIA2002219-0,043,0001,ROADWAY,0050,653-0095,,"THERMOPLASTIC PVMT MARKING, HANDICAP SYMBOL",2.00000,EA,"THE SCRUGGS COMPANY",2SC900,$373.93,$747.86,$47.86
B3TIA2002219-0,043,0001,ROADWAY,0050,653-0095,,"THERMOPLASTIC PVMT MARKING, HANDICAP SYMBOL",2.00000,EA,"REEVES CONSTRUCTION COMPANY",2RE390,$355.00,$710.00,$10.00
B3TIA2002219-0,043,0001,ROADWAY,0050,653-0095,,"THERMOPLASTIC PVMT MARKING, HANDICAP SYMBOL",2.00000,EA,"REAMES AND SON CONSTRUCTION COMPANY, INC.",2RE120,$367.50,$735.00,$35.00
B3TIA2002219-0,043,0001,ROADWAY,0055,653-0100,,"THERMOPLASTIC PVMT MARKING, RR/HWY CROSSING SYMBOL",5.00000,EA,"EAST COAST ASPHALT, LLC",00000000012961,$500.00,"$2,500.00",$0.00
B3TIA2002219-0,043,0001,ROADWAY,0055,653-0100,,"THERMOPLASTIC PVMT MARKING, RR/HWY CROSSING SYMBOL",5.00000,EA,"THE SCRUGGS COMPANY",2SC900,$534.19,"$2,670.95",$170.95
